Number,Level/Layer,Parameter,Forecast Valid,Description
347,650 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
348,650 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
349,650 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
350,650 mb,GRLE,2 hour fcst,Graupel [kg/kg]
351,675 mb,HGT,2 hour fcst,Geopotential Height [gpm]
352,675 mb,TMP,2 hour fcst,Temperature [K]
353,675 mb,RH,2 hour fcst,Relative Humidity [%]
354,675 mb,DPT,2 hour fcst,Dew Point Temperature [K]
355,675 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
356,675 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
357,675 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
358,675 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
359,675 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
360,675 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
361,675 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
362,675 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
363,675 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
364,675 mb,GRLE,2 hour fcst,Graupel [kg/kg]
365,700 mb,HGT,2 hour fcst,Geopotential Height [gpm]
366,700 mb,TMP,2 hour fcst,Temperature [K]
367,700 mb,RH,2 hour fcst,Relative Humidity [%]
368,700 mb,DPT,2 hour fcst,Dew Point Temperature [K]
369,700 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
370,700 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
371,700 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
372,700 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
373,700 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
374,700 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
375,700 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
376,700 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
377,700 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
378,700 mb,GRLE,2 hour fcst,Graupel [kg/kg]
379,725 mb,HGT,2 hour fcst,Geopotential Height [gpm]
380,725 mb,TMP,2 hour fcst,Temperature [K]
381,725 mb,RH,2 hour fcst,Relative Humidity [%]
382,725 mb,DPT,2 hour fcst,Dew Point Temperature [K]
383,725 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
384,725 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
385,725 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
386,725 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
387,725 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
388,725 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
389,725 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
390,725 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
391,725 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
392,725 mb,GRLE,2 hour fcst,Graupel [kg/kg]
393,750 mb,HGT,2 hour fcst,Geopotential Height [gpm]
394,750 mb,TMP,2 hour fcst,Temperature [K]
395,750 mb,RH,2 hour fcst,Relative Humidity [%]
396,750 mb,DPT,2 hour fcst,Dew Point Temperature [K]
397,750 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
398,750 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
399,750 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
